year_test,topN,metrics
2003,0.01,"{'auc': 0.8124105234257025, 'sensitivity_topk': 0.13043478260869565, 'precision_topk': 0.15254237288135594, 'ndcg_at_k': 0.16543362453068175}"
2003,0.02,"{'auc': 0.8124105234257025, 'sensitivity_topk': 0.17391304347826086, 'precision_topk': 0.10084033613445378, 'ndcg_at_k': 0.17652018124816476}"
2003,0.03,"{'auc': 0.8124105234257025, 'sensitivity_topk': 0.2318840579710145, 'precision_topk': 0.0893854748603352, 'ndcg_at_k': 0.21005123784272714}"
2003,0.04,"{'auc': 0.8124105234257025, 'sensitivity_topk': 0.2463768115942029, 'precision_topk': 0.07112970711297072, 'ndcg_at_k': 0.2182782323280511}"
2003,0.05,"{'auc': 0.8124105234257025, 'sensitivity_topk': 0.2608695652173913, 'precision_topk': 0.06020066889632107, 'ndcg_at_k': 0.22584125221957835}"
2004,0.01,"{'auc': 0.8137866482007464, 'sensitivity_topk': 0.08620689655172414, 'precision_topk': 0.0847457627118644, 'ndcg_at_k': 0.08877147717278436}"
2004,0.02,"{'auc': 0.8137866482007464, 'sensitivity_topk': 0.15517241379310345, 'precision_topk': 0.07627118644067797, 'ndcg_at_k': 0.13273849241811825}"
2004,0.03,"{'auc': 0.8137866482007464, 'sensitivity_topk': 0.20689655172413793, 'precision_topk': 0.06741573033707865, 'ndcg_at_k': 0.1613239293049996}"
2004,0.04,"{'auc': 0.8137866482007464, 'sensitivity_topk': 0.25862068965517243, 'precision_topk': 0.06329113924050633, 'ndcg_at_k': 0.18876632057740458}"
2004,0.05,"{'auc': 0.8137866482007464, 'sensitivity_topk': 0.3275862068965517, 'precision_topk': 0.06418918918918919, 'ndcg_at_k': 0.22374616707854392}"
2005,0.01,"{'auc': 0.7442267293075131, 'sensitivity_topk': 0.044444444444444446, 'precision_topk': 0.034482758620689655, 'ndcg_at_k': 0.0698708619679425}"
2005,0.02,"{'auc': 0.7442267293075131, 'sensitivity_topk': 0.06666666666666667, 'precision_topk': 0.02564102564102564, 'ndcg_at_k': 0.08276429716298098}"
2005,0.03,"{'auc': 0.7442267293075131, 'sensitivity_topk': 0.13333333333333333, 'precision_topk': 0.03428571428571429, 'ndcg_at_k': 0.11691401531508637}"
2005,0.04,"{'auc': 0.7442267293075131, 'sensitivity_topk': 0.13333333333333333, 'precision_topk': 0.02564102564102564, 'ndcg_at_k': 0.11691401531508637}"
2005,0.05,"{'auc': 0.7442267293075131, 'sensitivity_topk': 0.15555555555555556, 'precision_topk': 0.023890784982935155, 'ndcg_at_k': 0.12726709619799143}"
2006,0.01,"{'auc': 0.7276183107672469, 'sensitivity_topk': 0.06060606060606061, 'precision_topk': 0.03389830508474576, 'ndcg_at_k': 0.03531791061077915}"
2006,0.02,"{'auc': 0.7276183107672469, 'sensitivity_topk': 0.06060606060606061, 'precision_topk': 0.01694915254237288, 'ndcg_at_k': 0.03531791061077915}"
2006,0.03,"{'auc': 0.7276183107672469, 'sensitivity_topk': 0.12121212121212122, 'precision_topk': 0.022598870056497175, 'ndcg_at_k': 0.06290630348617411}"
2006,0.04,"{'auc': 0.7276183107672469, 'sensitivity_topk': 0.12121212121212122, 'precision_topk': 0.01694915254237288, 'ndcg_at_k': 0.06290630348617411}"
2006,0.05,"{'auc': 0.7276183107672469, 'sensitivity_topk': 0.12121212121212122, 'precision_topk': 0.013559322033898305, 'ndcg_at_k': 0.06290630348617411}"
2007,0.01,"{'auc': 0.6574226333219139, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2007,0.02,"{'auc': 0.6574226333219139, 'sensitivity_topk': 0.03333333333333333, 'precision_topk': 0.008547008547008548, 'ndcg_at_k': 0.016772420130116334}"
2007,0.03,"{'auc': 0.6574226333219139, 'sensitivity_topk': 0.03333333333333333, 'precision_topk': 0.005681818181818182, 'ndcg_at_k': 0.016772420130116334}"
2007,0.04,"{'auc': 0.6574226333219139, 'sensitivity_topk': 0.03333333333333333, 'precision_topk': 0.004273504273504274, 'ndcg_at_k': 0.016772420130116334}"
2007,0.05,"{'auc': 0.6574226333219139, 'sensitivity_topk': 0.03333333333333333, 'precision_topk': 0.0034129692832764505, 'ndcg_at_k': 0.016772420130116334}"
2008,0.01,"{'auc': 0.6556638849871933, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2008,0.02,"{'auc': 0.6556638849871933, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.008928571428571428, 'ndcg_at_k': 0.019186241322836067}"
2008,0.03,"{'auc': 0.6556638849871933, 'sensitivity_topk': 0.11538461538461539, 'precision_topk': 0.017857142857142856, 'ndcg_at_k': 0.05388257083257001}"
2008,0.04,"{'auc': 0.6556638849871933, 'sensitivity_topk': 0.15384615384615385, 'precision_topk': 0.017857142857142856, 'ndcg_at_k': 0.0695948059540772}"
2008,0.05,"{'auc': 0.6556638849871933, 'sensitivity_topk': 0.19230769230769232, 'precision_topk': 0.017857142857142856, 'ndcg_at_k': 0.08440734053940264}"
