year_test,topN,metrics
2003,0.01,"{'auc': 0.7516473495322704, 'sensitivity_topk': 0.043478260869565216, 'precision_topk': 0.05084745762711865, 'ndcg_at_k': 0.03712429831110142}"
2003,0.02,"{'auc': 0.7516473495322704, 'sensitivity_topk': 0.10144927536231885, 'precision_topk': 0.058823529411764705, 'ndcg_at_k': 0.07212088371661302}"
2003,0.03,"{'auc': 0.7516473495322704, 'sensitivity_topk': 0.11594202898550725, 'precision_topk': 0.0446927374301676, 'ndcg_at_k': 0.08044434082126586}"
2003,0.04,"{'auc': 0.7516473495322704, 'sensitivity_topk': 0.11594202898550725, 'precision_topk': 0.03347280334728033, 'ndcg_at_k': 0.08044434082126586}"
2003,0.05,"{'auc': 0.7516473495322704, 'sensitivity_topk': 0.14492753623188406, 'precision_topk': 0.033444816053511704, 'ndcg_at_k': 0.09561588738862979}"
2004,0.01,"{'auc': 0.7446098683129504, 'sensitivity_topk': 0.034482758620689655, 'precision_topk': 0.03389830508474576, 'ndcg_at_k': 0.026128843949436268}"
2004,0.02,"{'auc': 0.7446098683129504, 'sensitivity_topk': 0.034482758620689655, 'precision_topk': 0.01694915254237288, 'ndcg_at_k': 0.026128843949436268}"
2004,0.03,"{'auc': 0.7446098683129504, 'sensitivity_topk': 0.08620689655172414, 'precision_topk': 0.028089887640449437, 'ndcg_at_k': 0.05459705647232341}"
2004,0.04,"{'auc': 0.7446098683129504, 'sensitivity_topk': 0.1206896551724138, 'precision_topk': 0.029535864978902954, 'ndcg_at_k': 0.07281965600138829}"
2004,0.05,"{'auc': 0.7446098683129504, 'sensitivity_topk': 0.1724137931034483, 'precision_topk': 0.033783783783783786, 'ndcg_at_k': 0.09890765941705998}"
2005,0.01,"{'auc': 0.7020740231465568, 'sensitivity_topk': 0.022222222222222223, 'precision_topk': 0.017241379310344827, 'ndcg_at_k': 0.015444985233967165}"
2005,0.02,"{'auc': 0.7020740231465568, 'sensitivity_topk': 0.044444444444444446, 'precision_topk': 0.017094017094017096, 'ndcg_at_k': 0.029325695729247384}"
