gvkey,cik,year,datefiled,fye,restate_filing,daterestated,restatement,restate_dir,restate_govt,restate_oth,restate_int,restate_ben
1004,1750,1994,8/24/94,5/31/94,,.,0,0,0,0,0,0
1004,1750,1995,8/11/95,5/31/95,,.,0,0,0,0,0,0
1004,1750,2002,8/26/02,5/31/02,,.,0,0,0,0,0,0
1004,1750,2003,8/18/03,5/31/03,,.,0,0,0,0,0,0
1004,1750,2004,7/22/04,5/31/04,,.,0,0,0,0,0,0
1004,1750,2005,7/22/05,5/31/05,,.,0,0,0,0,0,0
1004,1750,2006,7/17/06,5/31/06,,.,0,0,0,0,0,0
1004,1750,2007,7/20/07,5/31/07,,.,0,0,0,0,0,0
1004,1750,2008,7/11/08,5/31/08,,.,0,0,0,0,0,0
1004,1750,2009,7/16/09,5/31/09,,.,0,0,0,0,0,0
1004,1750,2010,7/16/10,5/31/10,,.,0,0,0,0,0,0
1004,1750,2011,7/13/11,5/31/11,,.,0,0,0,0,0,0
1004,1750,2012,7/19/12,5/31/12,,.,0,0,0,0,0,0
1013,61478,1994,12/22/94,10/31/94,,.,0,0,0,0,0,0
1013,61478,2002,1/16/02,10/31/01,,.,0,0,0,0,0,0
1013,61478,2003,1/10/03,10/31/02,,.,0,0,0,0,0,0
1013,61478,2010,11/23/10,9/30/10,,.,0,0,0,0,0,0
1034,730469,1998,3/9/98,12/31/97,,.,0,0,0,0,0,0
1034,730469,1999,3/26/99,12/31/98,,.,0,0,0,0,0,0
1034,730469,2000,3/29/00,12/31/99,0000730469-00-000009,20001115,1,0,0,0,0,
1,,,,,,,,,,,,
1034,730469,2002,3/28/02,12/31/01,,.,0,0,0,0,0,0
1034,730469,2003,3/24/03,12/31/02,0000730469-04-000019,20040227,1,1,1,0,1,
0,,,,,,,,,,,,
1034,730469,2004,3/12/04,12/31/03,0000730469-04-000075,20040601,1,1,1,0,1,
0,,,,,,,,,,,,
1034,730469,2005,3/31/05,12/31/04,0000730469-05-000035,20050505,1,1,1,0,1,
0,,,,,,,,,,,,
1034,730469,2006,3/16/06,12/31/05,,.,0,0,0,0,0,0
1034,730469,2007,3/1/07,12/31/06,,.,0,0,0,0,0,0
1045,6201,1994,3/31/94,12/31/93,,.,0,0,0,0,0,0
1045,6201,2003,4/15/03,12/31/02,,.,0,0,0,0,0,0
1045,6201,2004,2/27/04,12/31/03,,.,0,0,0,0,0,0
1045,6201,2005,2/25/05,12/31/04,,.,0,0,0,0,0,0
1045,6201,2007,2/23/07,12/31/06,0000950134-07-004263,20070227,1,0,1,0,1,0
1045,6201,2008,2/20/08,2/20/08,,.,0,0,0,0,0,0
1045,6201,2009,2/19/09,12/31/08,,.,0,0,0,0,0,0
1045,6201,2010,2/17/10,12/31/09,,.,0,0,0,0,0,0
1050,3197,2003,3/27/03,12/31/02,,.,0,0,0,0,0,0
1050,3197,2004,3/29/04,12/31/03,0001193125-05-077708,20050415,1,0,0,0,0,1
1050,3197,2005,4/15/05,12/31/04,,.,0,0,0,0,0,0
1050,3197,2006,3/30/06,12/31/05,,.,0,0,0,0,0,0
1050,3197,2007,4/2/07,12/31/06,,.,0,0,0,0,0,0
1050,3197,2008,3/17/08,12/31/07,,.,0,0,0,0,0,0
