year_test,topN,metrics
2003,0.01,"{'auc': 0.5663683297052421, 'sensitivity_topk': 0.043478260869565216, 'precision_topk': 0.05084745762711865, 'ndcg_at_k': 0.03900737249389684}"
2003,0.02,"{'auc': 0.5663683297052421, 'sensitivity_topk': 0.043478260869565216, 'precision_topk': 0.025210084033613446, 'ndcg_at_k': 0.04808068421872283}"
2003,0.03,"{'auc': 0.5663683297052421, 'sensitivity_topk': 0.07246376811594203, 'precision_topk': 0.027932960893854747, 'ndcg_at_k': 0.06522756772019007}"
2003,0.04,"{'auc': 0.5663683297052421, 'sensitivity_topk': 0.08695652173913043, 'precision_topk': 0.02510460251046025, 'ndcg_at_k': 0.08128290436014898}"
2003,0.05,"{'auc': 0.5663683297052421, 'sensitivity_topk': 0.13043478260869565, 'precision_topk': 0.030100334448160536, 'ndcg_at_k': 0.09661348122321343}"
2004,0.01,"{'auc': 0.5340528978193, 'sensitivity_topk': 0.05172413793103448, 'precision_topk': 0.05084745762711865, 'ndcg_at_k': 0.03429427315458429}"
2004,0.02,"{'auc': 0.5340528978193, 'sensitivity_topk': 0.05172413793103448, 'precision_topk': 0.025423728813559324, 'ndcg_at_k': 0.0450131310007777}"
2004,0.03,"{'auc': 0.5340528978193, 'sensitivity_topk': 0.06896551724137931, 'precision_topk': 0.02247191011235955, 'ndcg_at_k': 0.053291345341829666}"
2004,0.04,"{'auc': 0.5340528978193, 'sensitivity_topk': 0.06896551724137931, 'precision_topk': 0.016877637130801686, 'ndcg_at_k': 0.06091310991693716}"
2004,0.05,"{'auc': 0.5340528978193, 'sensitivity_topk': 0.08620689655172414, 'precision_topk': 0.016891891891891893, 'ndcg_at_k': 0.06819322402686911}"
2005,0.01,"{'auc': 0.518213590008021, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2005,0.02,"{'auc': 0.518213590008021, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.007078331992209624}"
2005,0.03,"{'auc': 0.518213590008021, 'sensitivity_topk': 0.022222222222222223, 'precision_topk': 0.005714285714285714, 'ndcg_at_k': 0.017029546448845426}"
2005,0.04,"{'auc': 0.518213590008021, 'sensitivity_topk': 0.022222222222222223, 'precision_topk': 0.004273504273504274, 'ndcg_at_k': 0.026508682781106737}"
2005,0.05,"{'auc': 0.518213590008021, 'sensitivity_topk': 0.044444444444444446, 'precision_topk': 0.006825938566552901, 'ndcg_at_k': 0.0355564801176985}"
2006,0.01,"{'auc': 0.5280618955512573, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2006,0.02,"{'auc': 0.5280618955512573, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.004652440510063743}"
2006,0.03,"{'auc': 0.5280618955512573, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.009633049412063993}"
2006,0.04,"{'auc': 0.5280618955512573, 'sensitivity_topk': 0.030303030303030304, 'precision_topk': 0.00423728813559322, 'ndcg_at_k': 0.014297770479370418}"
2006,0.05,"{'auc': 0.5280618955512573, 'sensitivity_topk': 0.030303030303030304, 'precision_topk': 0.003389830508474576, 'ndcg_at_k': 0.018752347552131475}"
2007,0.01,"{'auc': 0.46650108484640856, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2007,0.02,"{'auc': 0.46650108484640856, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0017038435128894987}"
2007,0.03,"{'auc': 0.46650108484640856, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.003952458218036917}"
2007,0.04,"{'auc': 0.46650108484640856, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0060226919911074706}"
2007,0.05,"{'auc': 0.46650108484640856, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.008033775897049756}"
2008,0.01,"{'auc': 0.44106833016607455, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2008,0.02,"{'auc': 0.44106833016607455, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.008928571428571428, 'ndcg_at_k': 0.0018767755768680978}"
2008,0.03,"{'auc': 0.44106833016607455, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.005952380952380952, 'ndcg_at_k': 0.00634872253215016}"
2008,0.04,"{'auc': 0.44106833016607455, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.004464285714285714, 'ndcg_at_k': 0.010534382388465277}"
2008,0.05,"{'auc': 0.44106833016607455, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.0035714285714285713, 'ndcg_at_k': 0.01452977310268312}"
