year_test,topN,metrics
2003,0.01,"{'auc': 0.7264750151987606, 'sensitivity_topk': 0.11594202898550725, 'precision_topk': 0.13559322033898305, 'ndcg_at_k': 0.2180942114532296}"
2003,0.02,"{'auc': 0.7264750151987606, 'sensitivity_topk': 0.15942028985507245, 'precision_topk': 0.09243697478991597, 'ndcg_at_k': 0.22423781860580122}"
2003,0.03,"{'auc': 0.7264750151987606, 'sensitivity_topk': 0.18840579710144928, 'precision_topk': 0.07262569832402235, 'ndcg_at_k': 0.2418557511417254}"
2003,0.04,"{'auc': 0.7264750151987606, 'sensitivity_topk': 0.2318840579710145, 'precision_topk': 0.06694560669456066, 'ndcg_at_k': 0.26618817695934377}"
2003,0.05,"{'auc': 0.7264750151987606, 'sensitivity_topk': 0.2608695652173913, 'precision_topk': 0.06020066889632107, 'ndcg_at_k': 0.2817386610835254}"
2004,0.01,"{'auc': 0.7179130184737448, 'sensitivity_topk': 0.06896551724137931, 'precision_topk': 0.06779661016949153, 'ndcg_at_k': 0.11269468163042222}"
2004,0.02,"{'auc': 0.7179130184737448, 'sensitivity_topk': 0.15517241379310345, 'precision_topk': 0.07627118644067797, 'ndcg_at_k': 0.16748862606928877}"
2004,0.03,"{'auc': 0.7179130184737448, 'sensitivity_topk': 0.22413793103448276, 'precision_topk': 0.07303370786516854, 'ndcg_at_k': 0.20672764505458005}"
2004,0.04,"{'auc': 0.7179130184737448, 'sensitivity_topk': 0.2413793103448276, 'precision_topk': 0.05907172995780591, 'ndcg_at_k': 0.21574311557387107}"
2004,0.05,"{'auc': 0.7179130184737448, 'sensitivity_topk': 0.27586206896551724, 'precision_topk': 0.05405405405405406, 'ndcg_at_k': 0.2330968218694476}"
2005,0.01,"{'auc': 0.6784538405714068, 'sensitivity_topk': 0.022222222222222223, 'precision_topk': 0.017241379310344827, 'ndcg_at_k': 0.08328426297168161}"
2005,0.02,"{'auc': 0.6784538405714068, 'sensitivity_topk': 0.13333333333333333, 'precision_topk': 0.05128205128205128, 'ndcg_at_k': 0.14880141259766644}"
2005,0.03,"{'auc': 0.6784538405714068, 'sensitivity_topk': 0.17777777777777778, 'precision_topk': 0.045714285714285714, 'ndcg_at_k': 0.17188399394863854}"
2005,0.04,"{'auc': 0.6784538405714068, 'sensitivity_topk': 0.2, 'precision_topk': 0.038461538461538464, 'ndcg_at_k': 0.18277957608728382}"
2005,0.05,"{'auc': 0.6784538405714068, 'sensitivity_topk': 0.2, 'precision_topk': 0.030716723549488054, 'ndcg_at_k': 0.18277957608728382}"
2006,0.01,"{'auc': 0.6750715667311412, 'sensitivity_topk': 0.06060606060606061, 'precision_topk': 0.03389830508474576, 'ndcg_at_k': 0.040552751800699824}"
2006,0.02,"{'auc': 0.6750715667311412, 'sensitivity_topk': 0.06060606060606061, 'precision_topk': 0.01694915254237288, 'ndcg_at_k': 0.040552751800699824}"
2006,0.03,"{'auc': 0.6750715667311412, 'sensitivity_topk': 0.09090909090909091, 'precision_topk': 0.01694915254237288, 'ndcg_at_k': 0.054888504428358104}"
2006,0.04,"{'auc': 0.6750715667311412, 'sensitivity_topk': 0.15151515151515152, 'precision_topk': 0.0211864406779661, 'ndcg_at_k': 0.0820110134449208}"
2006,0.05,"{'auc': 0.6750715667311412, 'sensitivity_topk': 0.18181818181818182, 'precision_topk': 0.020338983050847456, 'ndcg_at_k': 0.09458772344003566}"
2007,0.01,"{'auc': 0.6313263674774466, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2007,0.02,"{'auc': 0.6313263674774466, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2007,0.03,"{'auc': 0.6313263674774466, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2007,0.04,"{'auc': 0.6313263674774466, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2007,0.05,"{'auc': 0.6313263674774466, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2008,0.01,"{'auc': 0.6686909581646424, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.017857142857142856, 'ndcg_at_k': 0.02550277255505835}"
2008,0.02,"{'auc': 0.6686909581646424, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.008928571428571428, 'ndcg_at_k': 0.02550277255505835}"
2008,0.03,"{'auc': 0.6686909581646424, 'sensitivity_topk': 0.07692307692307693, 'precision_topk': 0.011904761904761904, 'ndcg_at_k': 0.042519742788324086}"
2008,0.04,"{'auc': 0.6686909581646424, 'sensitivity_topk': 0.11538461538461539, 'precision_topk': 0.013392857142857142, 'ndcg_at_k': 0.05814377817446864}"
2008,0.05,"{'auc': 0.6686909581646424, 'sensitivity_topk': 0.11538461538461539, 'precision_topk': 0.010714285714285714, 'ndcg_at_k': 0.05814377817446864}"
