Actual Labels,Predicted Labels,Decision Values
41,1,0.5414657951697425
746,0,0.4030558608058608
0,0,0.23702256730197907
58,0,0.43436674599909886
333,1,0.5399143495393494
3133,0,0.21211431696958014
0,1,0.7192011819879468
51,1,0.6152988318870672
564,0,0.2782737576750735
228,0,0.40482572252309085
1286,0,0.1595693334443334
53,0,0.30540830003330005
6,1,0.6557384151795919
0,0,0.03532251082251082
21,1,0.6533098013098013
1,0,0.35645085470085475
0,0,0.41815080752580747
28,1,0.54886278998779
1313,0,0.1578086496836496
6178,0,0.3456521855337645
0,0,0.18025553613053613
195,1,0.5820514763014761
1,1,0.5695105335840629
18165,0,0.28900444657681496
0,0,0.4471853146853148
112,1,0.5302657065157067
76,0,0.27715816201342514
0,0,0.10697915972915972
812,0,0.3159322621822622
370,1,0.6078354205993525
289,0,0.19284175619701935
803,0,0.20899565712065715
525,0,0.22746506434741728
6,1,0.5139758436008436
0,0,0.2799804215392452
0,0,0.23983687554275793
64,1,0.703386557886558
55,0,0.4179954906204905
528,0,0.18592809967809967
23,0,0.354456690368455
2950,0,0.30751993839493835
1,0,0.4810865147923973
657,0,0.30852154059390907
170,0,0.4027710345210345
576,0,0.22076874514374512
6,1,0.6922205596690891
5,1,0.6459329698079699
518,0,0.2085608419358419
518,0,0.34300115570703804
5,1,0.7143592420651246
104,0,0.3052567432567432
110,1,0.5286915861915862
6,1,0.762711122211122
1182,0,0.15783992396492397
285,0,0.4250585569401359
7180,0,0.13318009841036157
40,0,0.4544891774891775
3,1,0.535480689245395
62,1,0.6545639360639357
2,0,0.3173049393417041
2,1,0.6649176852559207
9,1,0.753553952583364
20,0,0.4624546287046286
10,0,0.4442359862359863
111,0,0.36099220224220224
11,0,0.4601703035526565
4353,0,0.3252415289388973
0,1,0.6621814215196568
20,1,0.7586454060645239
5122,0,0.26281468896600474
2,1,0.5301894355644357
35,1,0.6307021034521033
18,1,0.6719476356976355
2116,0,0.24593098933230512
177,0,0.37562443112443106
4,1,0.5898113275613275
104,0,0.33255378118613416
6,1,0.5058652181152182
1,0,0.3948279914529913
286,0,0.45101804976069687
2,1,0.7613183983199464
6,0,0.4772516274575099
966,0,0.33716424511161336
191,0,0.23120374435506005
0,0,0.33681376956376957
21,0,0.45840792540792535
33,0,0.36490264968090047
0,0,0.011408040488922841
17,0,0.3214358696858697
4566,0,0.29005846767611476
5493,0,0.15182550855577165
0,0,0.028603991596638654
0,0,0.47046292669319
8,1,0.6045892906113494
0,0,0.021701330532212883
1309,0,0.1308143523143523
105,0,0.44344438078261617
5,0,0.434491434893609
484,0,0.3623967682644153
612,0,0.46470167405693713
0,0,0.4477774839539544
223,0,0.3345931568431568
0,1,0.5003781496281495
12,0,0.3806971361971363
11,1,0.5712598414657237
391,0,0.3968795232545233
16,0,0.4362926934176935
0,0,0.029449481074481074
21,1,0.6346944085326437
29,1,0.5873008013228604
1,0,0.3717532934901356
5,1,0.5222517536213356
0,0,0.1571039516039516
363,0,0.3490427554901238
10,1,0.5952907370407369
2005,0,0.30885322280059124
1,1,0.5792137445887444
29,0,0.3584280449083081
23,1,0.5630742488505645
395,0,0.4165190715287465
694,0,0.39689703352203354
1,1,0.7575139166389168
4266,0,0.12987586025086023
0,0,0.28001442348501177
2,1,0.7712449168478582
0,1,0.6180203342409224
0,1,0.6816565934065935
3,1,0.6629079531579533
98,0,0.3604611368164
9,1,0.7251621850371852
47,0,0.3741562604062604
36,0,0.44366622266622274
721,0,0.2246888250638251
200,0,0.3793160646543
60,0,0.4855594503535679
181,1,0.5533258685758683
423,0,0.40962525546349066
49,1,0.7965557914307917
970,0,0.453533026613909
2,1,0.6973935508935508
562,1,0.5930170669973301
927,0,0.26414621489621487
0,0,0.12412498612498613
519,0,0.37823404446430764
0,0,0.22235443722943715
62,0,0.38442496392496395
2871,0,0.10445980408480407
714,0,0.3332324546798231
4556,0,0.15301244588744586
31,1,0.5798525290498973
76,0,0.4721448176007
