year_test,topN,metrics
2003,0.01,"{'auc': 0.7369339687395816, 'sensitivity_topk': 0.043478260869565216, 'precision_topk': 0.05084745762711865, 'ndcg_at_k': 0.03892478612137661}"
2003,0.02,"{'auc': 0.7369339687395816, 'sensitivity_topk': 0.11594202898550725, 'precision_topk': 0.06722689075630252, 'ndcg_at_k': 0.08380835069686284}"
2003,0.03,"{'auc': 0.7369339687395816, 'sensitivity_topk': 0.13043478260869565, 'precision_topk': 0.05027932960893855, 'ndcg_at_k': 0.09251725718230418}"
2003,0.04,"{'auc': 0.7369339687395816, 'sensitivity_topk': 0.14492753623188406, 'precision_topk': 0.04184100418410042, 'ndcg_at_k': 0.10050989181956224}"
2003,0.05,"{'auc': 0.7369339687395816, 'sensitivity_topk': 0.14492753623188406, 'precision_topk': 0.033444816053511704, 'ndcg_at_k': 0.10050989181956224}"
2004,0.01,"{'auc': 0.7466315344710218, 'sensitivity_topk': 0.034482758620689655, 'precision_topk': 0.03389830508474576, 'ndcg_at_k': 0.025351759583808163}"
2004,0.02,"{'auc': 0.7466315344710218, 'sensitivity_topk': 0.05172413793103448, 'precision_topk': 0.025423728813559324, 'ndcg_at_k': 0.036249822368601296}"
2004,0.03,"{'auc': 0.7466315344710218, 'sensitivity_topk': 0.06896551724137931, 'precision_topk': 0.02247191011235955, 'ndcg_at_k': 0.04595091697110867}"
2004,0.04,"{'auc': 0.7466315344710218, 'sensitivity_topk': 0.1206896551724138, 'precision_topk': 0.029535864978902954, 'ndcg_at_k': 0.0732962778657632}"
2004,0.05,"{'auc': 0.7466315344710218, 'sensitivity_topk': 0.15517241379310345, 'precision_topk': 0.030405405405405407, 'ndcg_at_k': 0.09041446075544003}"
2005,0.01,"{'auc': 0.7042817310263169, 'sensitivity_topk': 0.022222222222222223, 'precision_topk': 0.017241379310344827, 'ndcg_at_k': 0.014993776352416683}"
2005,0.02,"{'auc': 0.7042817310263169, 'sensitivity_topk': 0.044444444444444446, 'precision_topk': 0.017094017094017096, 'ndcg_at_k': 0.0284922002315096}"
2005,0.03,"{'auc': 0.7042817310263169, 'sensitivity_topk': 0.06666666666666667, 'precision_topk': 0.017142857142857144, 'ndcg_at_k': 0.04038995208460693}"
2005,0.04,"{'auc': 0.7042817310263169, 'sensitivity_topk': 0.06666666666666667, 'precision_topk': 0.01282051282051282, 'ndcg_at_k': 0.04038995208460693}"
2005,0.05,"{'auc': 0.7042817310263169, 'sensitivity_topk': 0.08888888888888889, 'precision_topk': 0.013651877133105802, 'ndcg_at_k': 0.05054697537397423}"
2006,0.01,"{'auc': 0.6932920696324952, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2006,0.02,"{'auc': 0.6932920696324952, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2006,0.03,"{'auc': 0.6932920696324952, 'sensitivity_topk': 0.030303030303030304, 'precision_topk': 0.005649717514124294, 'ndcg_at_k': 0.013710628796762716}"
2006,0.04,"{'auc': 0.6932920696324952, 'sensitivity_topk': 0.06060606060606061, 'precision_topk': 0.00847457627118644, 'ndcg_at_k': 0.02696219363734892}"
2006,0.05,"{'auc': 0.6932920696324952, 'sensitivity_topk': 0.06060606060606061, 'precision_topk': 0.006779661016949152, 'ndcg_at_k': 0.02696219363734892}"
2007,0.01,"{'auc': 0.6564120132465456, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2007,0.02,"{'auc': 0.6564120132465456, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2007,0.03,"{'auc': 0.6564120132465456, 'sensitivity_topk': 0.03333333333333333, 'precision_topk': 0.005681818181818182, 'ndcg_at_k': 0.014698030494646559}"
2007,0.04,"{'auc': 0.6564120132465456, 'sensitivity_topk': 0.03333333333333333, 'precision_topk': 0.004273504273504274, 'ndcg_at_k': 0.014698030494646559}"
2007,0.05,"{'auc': 0.6564120132465456, 'sensitivity_topk': 0.03333333333333333, 'precision_topk': 0.0034129692832764505, 'ndcg_at_k': 0.014698030494646559}"
2008,0.01,"{'auc': 0.6752044947533669, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.017857142857142856, 'ndcg_at_k': 0.022091484743098584}"
2008,0.02,"{'auc': 0.6752044947533669, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.008928571428571428, 'ndcg_at_k': 0.022091484743098584}"
2008,0.03,"{'auc': 0.6752044947533669, 'sensitivity_topk': 0.07692307692307693, 'precision_topk': 0.011904761904761904, 'ndcg_at_k': 0.03854551726448168}"
2008,0.04,"{'auc': 0.6752044947533669, 'sensitivity_topk': 0.07692307692307693, 'precision_topk': 0.008928571428571428, 'ndcg_at_k': 0.03854551726448168}"
2008,0.05,"{'auc': 0.6752044947533669, 'sensitivity_topk': 0.07692307692307693, 'precision_topk': 0.007142857142857143, 'ndcg_at_k': 0.03854551726448168}"
2009,0.01,"{'auc': 0.6678072254195483, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2009,0.02,"{'auc': 0.6678072254195483, 'sensitivity_topk': 0.06451612903225806, 'precision_topk': 0.018691588785046728, 'ndcg_at_k': 0.03476930079642559}"
2009,0.03,"{'auc': 0.6678072254195483, 'sensitivity_topk': 0.06451612903225806, 'precision_topk': 0.012422360248447204, 'ndcg_at_k': 0.03476930079642559}"
2009,0.04,"{'auc': 0.6678072254195483, 'sensitivity_topk': 0.06451612903225806, 'precision_topk': 0.009345794392523364, 'ndcg_at_k': 0.03476930079642559}"
2009,0.05,"{'auc': 0.6678072254195483, 'sensitivity_topk': 0.0967741935483871, 'precision_topk': 0.011194029850746268, 'ndcg_at_k': 0.04832053770660165}"
2010,0.01,"{'auc': 0.716332707009567, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2010,0.02,"{'auc': 0.716332707009567, 'sensitivity_topk': 0.07692307692307693, 'precision_topk': 0.018691588785046728, 'ndcg_at_k': 0.037196655653762}"
2010,0.03,"{'auc': 0.716332707009567, 'sensitivity_topk': 0.11538461538461539, 'precision_topk': 0.018633540372670808, 'ndcg_at_k': 0.05467617989357601}"
2010,0.04,"{'auc': 0.716332707009567, 'sensitivity_topk': 0.11538461538461539, 'precision_topk': 0.013953488372093023, 'ndcg_at_k': 0.05467617989357601}"
2010,0.05,"{'auc': 0.716332707009567, 'sensitivity_topk': 0.11538461538461539, 'precision_topk': 0.011152416356877323, 'ndcg_at_k': 0.05467617989357601}"
2011,0.01,"{'auc': 0.7387100483886663, 'sensitivity_topk': 0.09523809523809523, 'precision_topk': 0.037037037037037035, 'ndcg_at_k': 0.05486480011229837}"
2011,0.02,"{'auc': 0.7387100483886663, 'sensitivity_topk': 0.09523809523809523, 'precision_topk': 0.018518518518518517, 'ndcg_at_k': 0.05486480011229837}"
2011,0.03,"{'auc': 0.7387100483886663, 'sensitivity_topk': 0.14285714285714285, 'precision_topk': 0.018518518518518517, 'ndcg_at_k': 0.07414549226607879}"
