year_test,topN,metrics
2003,0.01,"{'auc': 0.7489887921397894, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2003,0.02,"{'auc': 0.7489887921397894, 'sensitivity_topk': 0.08695652173913043, 'precision_topk': 0.05042016806722689, 'ndcg_at_k': 0.05854032859142945}"
2003,0.03,"{'auc': 0.7489887921397894, 'sensitivity_topk': 0.13043478260869565, 'precision_topk': 0.05027932960893855, 'ndcg_at_k': 0.08369251394991142}"
2003,0.04,"{'auc': 0.7489887921397894, 'sensitivity_topk': 0.17391304347826086, 'precision_topk': 0.0502092050209205, 'ndcg_at_k': 0.1078099204519141}"
2003,0.05,"{'auc': 0.7489887921397894, 'sensitivity_topk': 0.18840579710144928, 'precision_topk': 0.043478260869565216, 'ndcg_at_k': 0.11564458645499869}"
2004,0.01,"{'auc': 0.7318270111030257, 'sensitivity_topk': 0.034482758620689655, 'precision_topk': 0.03389830508474576, 'ndcg_at_k': 0.025480847238528465}"
2004,0.02,"{'auc': 0.7318270111030257, 'sensitivity_topk': 0.06896551724137931, 'precision_topk': 0.03389830508474576, 'ndcg_at_k': 0.047868090371597984}"
2004,0.03,"{'auc': 0.7318270111030257, 'sensitivity_topk': 0.10344827586206896, 'precision_topk': 0.033707865168539325, 'ndcg_at_k': 0.06738233543220329}"
2004,0.04,"{'auc': 0.7318270111030257, 'sensitivity_topk': 0.10344827586206896, 'precision_topk': 0.02531645569620253, 'ndcg_at_k': 0.06738233543220329}"
2004,0.05,"{'auc': 0.7318270111030257, 'sensitivity_topk': 0.10344827586206896, 'precision_topk': 0.02027027027027027, 'ndcg_at_k': 0.06738233543220329}"
2005,0.01,"{'auc': 0.6470379282685917, 'sensitivity_topk': 0.022222222222222223, 'precision_topk': 0.017241379310344827, 'ndcg_at_k': 0.016891886350854642}"
2005,0.02,"{'auc': 0.6470379282685917, 'sensitivity_topk': 0.044444444444444446, 'precision_topk': 0.017094017094017096, 'ndcg_at_k': 0.029114836949330942}"
2005,0.03,"{'auc': 0.6470379282685917, 'sensitivity_topk': 0.08888888888888889, 'precision_topk': 0.022857142857142857, 'ndcg_at_k': 0.052205457642872787}"
2005,0.04,"{'auc': 0.6470379282685917, 'sensitivity_topk': 0.1111111111111111, 'precision_topk': 0.021367521367521368, 'ndcg_at_k': 0.06301126823823229}"
2005,0.05,"{'auc': 0.6470379282685917, 'sensitivity_topk': 0.1111111111111111, 'precision_topk': 0.017064846416382253, 'ndcg_at_k': 0.06301126823823229}"
2006,0.01,"{'auc': 0.6347311411992264, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2006,0.02,"{'auc': 0.6347311411992264, 'sensitivity_topk': 0.06060606060606061, 'precision_topk': 0.01694915254237288, 'ndcg_at_k': 0.03127712969624228}"
2006,0.03,"{'auc': 0.6347311411992264, 'sensitivity_topk': 0.09090909090909091, 'precision_topk': 0.01694915254237288, 'ndcg_at_k': 0.045032880877787444}"
2006,0.04,"{'auc': 0.6347311411992264, 'sensitivity_topk': 0.09090909090909091, 'precision_topk': 0.012711864406779662, 'ndcg_at_k': 0.045032880877787444}"
2006,0.05,"{'auc': 0.6347311411992264, 'sensitivity_topk': 0.09090909090909091, 'precision_topk': 0.010169491525423728, 'ndcg_at_k': 0.045032880877787444}"
2007,0.01,"{'auc': 0.6628811236724905, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2007,0.02,"{'auc': 0.6628811236724905, 'sensitivity_topk': 0.03333333333333333, 'precision_topk': 0.008547008547008548, 'ndcg_at_k': 0.016652679259660318}"
2007,0.03,"{'auc': 0.6628811236724905, 'sensitivity_topk': 0.1, 'precision_topk': 0.017045454545454544, 'ndcg_at_k': 0.04610797004050927}"
2007,0.04,"{'auc': 0.6628811236724905, 'sensitivity_topk': 0.13333333333333333, 'precision_topk': 0.017094017094017096, 'ndcg_at_k': 0.06040112588482004}"
2007,0.05,"{'auc': 0.6628811236724905, 'sensitivity_topk': 0.16666666666666666, 'precision_topk': 0.017064846416382253, 'ndcg_at_k': 0.07390637866690068}"
2008,0.01,"{'auc': 0.577322426946487, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2008,0.02,"{'auc': 0.577322426946487, 'sensitivity_topk': 0.0, 'precision_topk': 0.0, 'ndcg_at_k': 0.0}"
2008,0.03,"{'auc': 0.577322426946487, 'sensitivity_topk': 0.038461538461538464, 'precision_topk': 0.005952380952380952, 'ndcg_at_k': 0.01664995840074446}"
2008,0.04,"{'auc': 0.577322426946487, 'sensitivity_topk': 0.11538461538461539, 'precision_topk': 0.013392857142857142, 'ndcg_at_k': 0.04803913355053432}"
2008,0.05,"{'auc': 0.577322426946487, 'sensitivity_topk': 0.11538461538461539, 'precision_topk': 0.010714285714285714, 'ndcg_at_k': 0.04803913355053432}"
